,SMILES,bace,esol,logD
165,CCCC1(C)C(=O)NCCN1C(=O)[C@@H]1C[C@H]1C1=CC=CC=C1C(F)(F)F,,,
166,CCOC(=O)CC(C)(C)CCN1CCOCC1CC(O)C1=CC=CC=C1,,,
167,CCNC(=O)CNC1CC2(CCC2)C1,,,
168,CCC(COCC1CC1)NS(=O)(=O)C1=CC(C(=O)O)=C(C)O1,,,
169,CC1=CC=CC=C1CN1CCC(N2C(=O)CC(C(F)(F)F)NC2=O)CC1,,,
170,CCN1C=CC(C(=O)NC2CN(C(=O)[C@H]3C[C@H]3C(N)=O)C2)=N1,,,
171,O=C(NC1=CC=C2C=C(Br)C=NC2=N1)C1=NC=CC=C1OCC(F)(F)F,,,
172,CC(CNC(=O)COC1=CSC=C1)N(C)C(=O)[C@@H]1CC2=CN=CN2C(=O)N1,,,
173,N#CC1=CC(S(=O)(=O)N2CCCC2C2=CC=C(F)C(F)=C2)=CC=C1Cl,,,
174,COC1=CC=C(OC)C2=C1CN(C(=O)C1=CC=CC(NS(=O)(=O)C3=CC(C)=CC=C3C)=C1)CC2O,,,
175,COC1=CC=C(C(C)(C)NC(=O)CCOC2=CC=C(Cl)C(Cl)=C2)C=C1F,,,
176,CN(CC1=N[NH]C(C(C)(C)C)=C1)C1CCCN(C2=CC=C(Cl)C(Cl)=C2)C1=O,,,
177,O=C1NC(C2=CC(C3=CC=CC=N3)=N[NH]2)NC2=C1SC1=CC=CC=C21,,,
178,COC(=O)C1=CC=CC(N(C)C(=O)CCC(=O)N[C@@H](C)C2=CC=CC=C2)=C1C,,,
179,CC(CNC(=O)NC1CCN(C(=O)OC(C)(C)C)C2(CCC2)C1)CN1CCN(C)CC1,,,
180,CC(C)(COC1=NC=CC=C1Br)NCC(O)COC1=CC=CC2=C1C=C[NH]2,,,
181,CCC1=CC(C(=O)N(CC(C)C)C2=CC=C(C)C=C2C)=CC(=O)[NH]1,,,
182,CCCC1C2=CC=CC=C2CCN1C(=O)C1NC(=O)OC1C,,,
183,CCC1C2=C(CCN1CC1=CC(=O)N3N=CC=C3[NH]1)SC=C2,,,
184,CC(C)N1C=C(CNC2=NC=C(CC3=CC=CC=C3Cl)S2)C=N1,,,
185,CCC1=CC(OCC(=O)N2CCC3=C(F)C=C(F)C=C3C2)=CC=C1Cl,,,
186,CC1=C(CN(C)CC2CCN(C(=O)C3CSC4(C5=CC=C(F)C=C5)CCC(=O)N34)C2)SC=N1,,,
187,CC(C)CC1=CC=C(C#N)C(N2CC(C)C(C)(CO)C2)=N1,,,
188,CN1CCN=C1N1CCC=C(Cl)C1.I,,,
189,CCCC1=NC(C)=C(COC(=O)C2=CC=C(C3=CSN=N3)C=C2)O1,,,
190,CCN(CCS(C)(=O)=O)C(=O)C(F)(F)C1=CN=CC=N1,,,
191,C1COC2(C1)CCC(NC1CC3CCC1C3)CC2,,,
192,CN(C)C(=O)COCC1CN(C(=O)C2=NN(C3=CC=CC=C3)C(C3=CC=CC=C3)C2)CC(C)(C)O1,,,
193,CCC1=CC(NC(CC#N)C2=CC=CC=C2)=NC=N1,,,
194,N#CC1=CC(C(=O)NCC2=NN=C(C3CC3)O2)=C[NH]1,,,
195,CC(C)(C)OC(=O)N[C@@H]1COC[C@@H]1NC(=O)CC1=CC=C(C2CCCCC2)C=C1,,,
196,CC(C)(CC1=CC=C(Cl)C=C1)C1=NOC(C2=CC=C(N3CCOCC3)N=C2)=N1,,,
197,N#CC1=CC=C(N2CC(C(=O)N3CCC(O)(CC4=CC=CC(Cl)=C4)C3)CC2=O)C=C1,,,
