Index,SMILES,bace,esol,logD
178,COC(=O)C1=CC=CC(N(C)C(=O)CCC(=O)N[C@@H](C)C2=CC=CC=C2)=C1C,4.7008543,-4.6472306,1.4431528
179,CC(CNC(=O)NC1CCN(C(=O)OC(C)(C)C)C2(CCC2)C1)CN1CCN(C)CC1,4.163616,-5.528351,0.49053207
180,CC(C)(COC1=NC=CC=C1Br)NCC(O)COC1=CC=CC2=C1C=C[NH]2,4.1537495,-4.5380416,0.47789675
181,CCC1=CC(C(=O)N(CC(C)C)C2=CC=C(C)C=C2C)=CC(=O)[NH]1,4.128265,-4.1713295,-0.09060607
182,CCCC1C2=CC=CC=C2CCN1C(=O)C1NC(=O)OC1C,4.140319,-4.6561756,0.9129794
183,CCC1C2=C(CCN1CC1=CC(=O)N3N=CC=C3[NH]1)SC=C2,3.946408,-4.214706,0.41982314
184,CC(C)N1C=C(CNC2=NC=C(CC3=CC=CC=C3Cl)S2)C=N1,4.5327897,-4.613924,0.1064556
185,CCC1=CC(OCC(=O)N2CCC3=C(F)C=C(F)C=C3C2)=CC=C1Cl,3.9022343,-4.182619,-0.13309318
186,CC1=C(CN(C)CC2CCN(C(=O)C3CSC4(C5=CC=C(F)C=C5)CCC(=O)N34)C2)SC=N1,4.2554793,-5.0361357,1.4619268
187,CC(C)CC1=CC=C(C#N)C(N2CC(C)C(C)(CO)C2)=N1,3.6725392,-4.7265625,-0.24436697
188,CN1CCN=C1N1CCC=C(Cl)C1.I,3.62599,-3.9343016,-0.11384656
189,CCCC1=NC(C)=C(COC(=O)C2=CC=C(C3=CSN=N3)C=C2)O1,3.9500995,-3.982921,0.73053163
190,CCN(CCS(C)(=O)=O)C(=O)C(F)(F)C1=CN=CC=N1,3.8736744,-4.3429418,-0.51381105
191,C1COC2(C1)CCC(NC1CC3CCC1C3)CC2,3.4285116,-4.7651434,0.3808278
192,CN(C)C(=O)COCC1CN(C(=O)C2=NN(C3=CC=CC=C3)C(C3=CC=CC=C3)C2)CC(C)(C)O1,4.6057262,-5.6419353,0.48462635
193,CCC1=CC(NC(CC#N)C2=CC=CC=C2)=NC=N1,3.6061428,-4.17288,0.82656837
194,N#CC1=CC(C(=O)NCC2=NN=C(C3CC3)O2)=C[NH]1,3.6047316,-3.2457616,-0.64411634
195,CC(C)(C)OC(=O)N[C@@H]1COC[C@@H]1NC(=O)CC1=CC=C(C2CCCCC2)C=C1,4.4886465,-5.1092424,0.27503625
196,CC(C)(CC1=CC=C(Cl)C=C1)C1=NOC(C2=CC=C(N3CCOCC3)N=C2)=N1,4.0582595,-4.813278,0.7554031
197,N#CC1=CC=C(N2CC(C(=O)N3CCC(O)(CC4=CC=CC(Cl)=C4)C3)CC2=O)C=C1,4.2279954,-5.7793245,0.99112123
198,OC1=CC=C(Cl)C(CSCC2CCCOC2)=C1,4.019888,-4.245629,0.061663616
199,CC1(C)COC(C2=CC=CC=C2)CN1CC1CN(C2CC2)C(=O)O1,3.6819434,-5.4269276,0.17784795
200,CC(C)C1=CN=C(CN(C)CC2=CC=CC=C2Cl)S1,4.496414,-4.679361,0.18288234
