,SMILES,esol,logD,bace
118,CCC(NC1=CC=CC(C(N)=O)=C1OC)C1=NN(C)C=C1,-4.2544994,1.013962,4.2517653
119,CN1N=C(CNS(=O)(=O)C2=CC=C3OC(C)(C)CC3=C2)C2=CC=CC=C21,-4.370402,1.6754463,4.2335486
120,O=C(COC(=O)C1CCC(C2CCCO2)O1)C1CCC(F)(F)CC1,-4.2160053,0.4736724,4.127463
121,CCNC(=O)C(C)(C)CNC(C1=CC=CC(F)=C1)C1=CC=CC(Br)=C1,-4.558927,0.841916,4.4900484
122,COC(=O)CN1N=C(C)C(CNS(=O)(=O)C2=C(Br)N=C[NH]2)=C1C,-4.096821,1.2894852,3.9083176
123,CCCNC(=O)CCN1C(C2=CC=CN=C2)=NN=C1N(CC1=CC=C(F)C=C1)C(C)C,-4.5282598,-0.05960455,4.933913
124,CN(C)CCCC(C)(C)NC(=O)NCC1(C2=CC=C(F)C=C2Cl)CCCC1,-4.6138067,0.97976315,4.516228
125,COC(CNC(=O)OC(C)(C)C)CC(=O)NC1=CC=CC2=C1[NH]C=C2,-4.5058937,0.972416,4.8281975
126,CC1=CC=C(CCCN2C[C@@H]3C[C@H]2CN3C(=O)C2=NN(C(C)(C)C)N=N2)C=C1,-4.533497,0.88437015,4.659792
127,O=C(NC1=CC(C2=CC=C(Br)O2)=NO1)C1=CC=C(C2=CC(Cl)=CC=C2)[NH]C1=O,-5.6523232,0.36217597,4.555334
128,CCC1CN(C)CCN1CC1=NN=C(C(C)(C)C)S1,-4.660577,0.4882349,3.6505957
129,CC1=CN2C(C3=NOC(CN(C)C4CCSC4)=N3)=C(C)N=C2S1,-4.9817085,-0.4967499,3.8756099
130,COC1=CC=C(OCCS(=O)CCCC2=CC=CC=C2OC)C=C1,-4.974624,-0.15853277,4.54161
131,CC1=NC(C#N)=CC(NCC2(C3=CC=C(Br)C=C3Cl)CC2)=N1,-4.9664645,0.9236578,3.7661538
132,CCC(NC(=O)N1CC=C(C2=CC=CC(OC)=C2)C1)C1=NOC(C)=N1,-4.7235746,0.49690565,4.395909
133,O=C(NC1CCC2=C1C=CC=C2Cl)C1=COC(C2=CC=C(F)C=C2)=N1,-5.027963,0.083800174,4.4155483
134,CCOC(=O)C1(C)CCCC1NC(=O)C1=C(C(F)F)N(C2=CC=CC=C2)N=C1C(F)(F)F,-4.2714167,0.79049873,4.3169127
135,COC1=CC=C(CC(CO)CNS(=O)(=O)N2CCC3(CCCCC3)CC2)C=C1Br,-5.46638,1.1873783,4.3406744
136,CC(C)N1C=CN=C1C(=O)NC1(C2=C(Cl)C=CC=C2Cl)CCC1,-4.3227077,0.006571207,4.1772037
137,CC1=CC(C(=O)NC2=CN(CC3=CC(F)=CC=C3)C(=O)C=C2)=CC(C)=C1OCC(=O)N1CCCCC1,-5.6076565,-0.16929898,5.047846
138,CNC(=O)CCS(=O)(=O)CC1=NC=CC=C1Cl,-3.8510227,0.974231,3.7269673
139,CC(CNCC(C)(O)C1=CC=C(Br)C=C1Cl)C1=NN=CN1C,-4.5053835,-0.03309494,4.1124063
140,CC1=CC2=C(C=N[NH]2)C=C1NC1=CC(OC2CCOCC2)=NC=N1,-4.791669,-0.73358065,4.610767
141,CCN(CCC1=CC=CC=N1)C(=O)C1=CN2N=CC(C#N)=C2N=C1C,-4.3022346,0.26822045,4.5173597
142,CC1=CC2=CC=CN=C2C(S(=O)(=O)NC(C)CC(O)C2=CC=CS2)=C1,-4.475523,1.5775776,4.2857695
143,CN1CCCC1CN1CC2=CC=CC=C2CO1,-4.27069,-0.09721916,3.9421973
144,CC1=CC=C(C2(C(=O)NC3=CC=CC(C)=C3C(=O)N3CCCC3)CCC2)C=C1,-4.9705687,0.7569483,4.3412347
145,CN(C)C1CCC2=CC(Br)=CC=C2N(C(=O)C2CCCN(C(=O)C3=CC=NC=C3)C2)C1,-4.813591,-0.17669538,4.767641
146,O=C(OCCC1CCCC1=O)C1=C(Cl)C2=CC=CC=C2[NH]1,-4.2411404,-0.39763877,4.195798
147,CC(=O)NCC1(NC(=O)CC2=C[NH]C3=CC(C)=CC=C23)CCCCC1C,-4.567209,-0.18349501,4.2575955
148,NC(=O)C1=CSC(CN(CC2=CC=CC=C2)CC(O)C2=CSC=C2)=C1,-4.5721645,-0.17562965,4.587413
149,CCC1=NC(C(=O)NC2=CC(C#N)=CN2C(C)(C)C)=NN1C1=C(Cl)C=CC=C1Cl,-4.7526674,0.91055936,4.580098
150,CC1=NC=C(CCNC(=O)C23CCCN(CCC2)C3)S1,-4.5199127,0.77924365,4.2264915
151,COCC(COC)N1CCN(C(=O)C2(C)CC(=O)C2)CC1,-4.495899,0.9796807,3.992404
152,CC1=CC=CC(C)=C1NC(=O)CCCN1CCN2C(=NN=C2C(C)(C)C)C1,-4.683311,0.6458282,4.315117
153,CCN1C=NN=C1CN(C)C(=O)C1CC2=CC=CC(C)=C2O1,-4.332562,0.2656335,4.365204
